Search_image,Target_image,Matched,Matching_percentage
CB6_7C01.pdbx90.jpg,CB6_7C01.pdbx90.tga,Matched,4.475982532751091
CB6_7C01.pdby90.jpg,CB6_7C01.pdby90.tga,Matched,8.536585365853659
CC12.1_6XC3.pdb.jpg,CC12.1_6XC3.pdb.tga,Matched,7.598499061913697
CC12.1_6XC3.pdbx90.jpg,CC12.1_6XC3.pdbx90.tga,Matched,5.95959595959596
CC12.1_6XC3.pdby90.jpg,CC12.1_6XC3.pdby90.tga,Matched,4.399524375743162
CC12.3_6XC4.pdb.jpg,CC12.3_6XC4.pdb.tga,Matched,6.948640483383686
CC12.3_6XC4.pdbx90.jpg,CC12.3_6XC4.pdbx90.tga,Matched,7.124999999999999
CC12.3_6XC4.pdby90.jpg,CC12.3_6XC4.pdby90.tga,Matched,5.686032138442522
COVA1-16_7JMW.pdb.jpg,COVA1-16_7JMW.pdb.tga,Matched,6.713426853707414
COVA1-16_7JMW.pdbx90.jpg,COVA1-16_7JMW.pdbx90.tga,Matched,3.4482758620689653
COVA1-16_7JMW.pdby90.jpg,COVA1-16_7JMW.pdby90.tga,Matched,5.1664753157290475
COVA2-04_7JMO.pdb.jpg,COVA2-04_7JMO.pdb.tga,Matched,14.285714285714285
COVA2-04_7JMO.pdbx90.jpg,COVA2-04_7JMO.pdbx90.tga,Matched,5.222437137330754
COVA2-04_7JMO.pdby90.jpg,COVA2-04_7JMO.pdby90.tga,Matched,5.73394495412844
COVA2-39_7JMP.pdb.jpg,COVA2-39_7JMP.pdb.tga,Matched,5.794947994056463
COVA2-39_7JMP.pdbx90.jpg,COVA2-39_7JMP.pdbx90.tga,Matched,6.114649681528663
COVA2-39_7JMP.pdby90.jpg,COVA2-39_7JMP.pdby90.tga,Matched,15.308988764044946
CR3014-C8_7KZB.pdb.jpg,CR3014-C8_7KZB.pdb.tga,Matched,4.171240395170143
CR3014-C8_7KZB.pdbx90.jpg,CR3014-C8_7KZB.pdbx90.tga,Matched,7.089859851607584
CR3014-C8_7KZB.pdby90.jpg,CR3014-C8_7KZB.pdby90.tga,Matched,8.333333333333332
CR3022_6YLA.pdb.jpg,CR3022_6YLA.pdb.tga,Matched,13.911620294599016
CR3022_6YLA.pdbx90.jpg,CR3022_6YLA.pdbx90.tga,Matched,6.829765545361875
CR3022_6YLA.pdby90.jpg,CR3022_6YLA.pdby90.tga,Matched,7.599118942731277
CT-P59_7CM4.pdb.jpg,CT-P59_7CM4.pdb.tga,Matched,5.502063273727647
CT-P59_7CM4.pdbx90.jpg,CT-P59_7CM4.pdbx90.tga,Matched,7.73542600896861
CT-P59_7CM4.pdby90.jpg,CT-P59_7CM4.pdby90.tga,Matched,6.747638326585695
CV07-250_6XKQ.pdb.jpg,CV07-250_6XKQ.pdb.tga,Matched,7.630522088353414
CV07-250_6XKQ.pdbx90.jpg,CV07-250_6XKQ.pdbx90.tga,Matched,15.936254980079681
CV07-250_6XKQ.pdby90.jpg,CV07-250_6XKQ.pdby90.tga,Matched,5.515832482124617
CV07-270_6XKP.pdb.jpg,CV07-270_6XKP.pdb.tga,Matched,4.780114722753346
CV07-270_6XKP.pdbx90.jpg,CV07-270_6XKP.pdbx90.tga,Matched,11.447368421052632
CV07-270_6XKP.pdby90.jpg,CV07-270_6XKP.pdby90.tga,Matched,7.556935817805383
CV30_6XE1.pdb.jpg,CV30_6XE1.pdb.tga,Matched,4.9826187717265356
CV30_6XE1.pdbx90.jpg,CV30_6XE1.pdbx90.tga,Matched,6.772334293948126
CV30_6XE1.pdby90.jpg,CV30_6XE1.pdby90.tga,Matched,4.1554959785522785
DH1047_7LD1.pdb.jpg,DH1047_7LD1.pdb.tga,Matched,7.417582417582418
DH1047_7LD1.pdbx90.jpg,DH1047_7LD1.pdbx90.tga,Matched,4.583835946924005
DH1047_7LD1.pdby90.jpg,DH1047_7LD1.pdby90.tga,Matched,4.320203303684879
EY6A_6ZCZ.pdb.jpg,EY6A_6ZCZ.pdb.tga,Matched,4.916593503072871
EY6A_6ZCZ.pdbx90.jpg,EY6A_6ZCZ.pdbx90.tga,Matched,4.513274336283186
EY6A_6ZCZ.pdby90.jpg,EY6A_6ZCZ.pdby90.tga,Matched,7.5487012987013
E_7KN5.pdb.jpg,E_7KN5.pdb.tga,Matched,4.462809917355372
E_7KN5.pdbx90.jpg,E_7KN5.pdbx90.tga,Matched,5.88235294117647
E_7KN5.pdby90.jpg,E_7KN5.pdby90.tga,Matched,7.881136950904392
H014_7CAI.pdb.jpg,H014_7CAI.pdb.tga,Matched,3.537981269510926
H014_7CAI.pdbx90.jpg,H014_7CAI.pdbx90.tga,Matched,9.357997823721437
H014_7CAI.pdby90.jpg,H014_7CAI.pdby90.tga,Matched,8.117752007136485
H11-D4_6YZ5.pdb.jpg,H11-D4_6YZ5.pdb.tga,Matched,5.374592833876222
H11-D4_6YZ5.pdbx90.jpg,H11-D4_6YZ5.pdbx90.tga,Matched,10.9375
H11-D4_6YZ5.pdby90.jpg,H11-D4_6YZ5.pdby90.tga,Matched,15.09433962264151
H11-H4_6ZH9.pdb.jpg,H11-H4_6ZH9.pdb.tga,Matched,4.166666666666666
H11-H4_6ZH9.pdbx90.jpg,H11-H4_6ZH9.pdbx90.tga,Matched,4.470198675496689
H11-H4_6ZH9.pdby90.jpg,H11-H4_6ZH9.pdby90.tga,Matched,18.45878136200717
LY-CoV481_7KMI.pdb.jpg,LY-CoV481_7KMI.pdb.tga,Matched,2.8753993610223643
LY-CoV481_7KMI.pdbx90.jpg,LY-CoV481_7KMI.pdbx90.tga,Matched,6.64488017429194
LY-CoV481_7KMI.pdby90.jpg,LY-CoV481_7KMI.pdby90.tga,Matched,8.077709611451942
LY-CoV488_7KMH.pdb.jpg,LY-CoV488_7KMH.pdb.tga,Matched,6.3392857142857135
LY-CoV488_7KMH.pdbx90.jpg,LY-CoV488_7KMH.pdbx90.tga,Matched,5.737704918032787
LY-CoV488_7KMH.pdby90.jpg,LY-CoV488_7KMH.pdby90.tga,Matched,8.365019011406844
LY-CoV555_7KMG.pdb.jpg,LY-CoV555_7KMG.pdb.tga,Matched,6.021897810218978
LY-CoV555_7KMG.pdbx90.jpg,LY-CoV555_7KMG.pdbx90.tga,Matched,6.987951807228916
LY-CoV555_7KMG.pdby90.jpg,LY-CoV555_7KMG.pdby90.tga,Matched,4.86322188449848
MR17_7C8W.pdb.jpg,MR17_7C8W.pdb.tga,Matched,5.578512396694215
MR17_7C8W.pdbx90.jpg,MR17_7C8W.pdbx90.tga,Matched,8.55457227138643
MR17_7C8W.pdby90.jpg,MR17_7C8W.pdby90.tga,Matched,6.514285714285714
Nb20_7JVB.pdb.jpg,Nb20_7JVB.pdb.tga,Matched,3.9723661485319512
Nb20_7JVB.pdbx90.jpg,Nb20_7JVB.pdbx90.tga,Matched,4.667609618104668
Nb20_7JVB.pdby90.jpg,Nb20_7JVB.pdby90.tga,Matched,7.802093244529019
P17_7CWN.pdb.jpg,P17_7CWN.pdb.tga,Matched,7.175925925925926
P17_7CWN.pdbx90.jpg,P17_7CWN.pdbx90.tga,Matched,9.026369168356998
P17_7CWN.pdby90.jpg,P17_7CWN.pdby90.tga,Matched,4.632768361581921
P2B-2F6_7BWJ.pdb.jpg,P2B-2F6_7BWJ.pdb.tga,Matched,7.192982456140351
P2B-2F6_7BWJ.pdbx90.jpg,P2B-2F6_7BWJ.pdbx90.tga,Matched,8.912037037037036
P2B-2F6_7BWJ.pdby90.jpg,P2B-2F6_7BWJ.pdby90.tga,Matched,5.134899912967798
P2C-1A3_7CDJ.pdb.jpg,P2C-1A3_7CDJ.pdb.tga,Matched,4.208416833667335
P2C-1A3_7CDJ.pdbx90.jpg,P2C-1A3_7CDJ.pdbx90.tga,Matched,7.017543859649122
P2C-1A3_7CDJ.pdby90.jpg,P2C-1A3_7CDJ.pdby90.tga,Matched,8.531317494600433
P2C-1F11_7CDI.pdb.jpg,P2C-1F11_7CDI.pdb.tga,Matched,8.968609865470851
P2C-1F11_7CDI.pdbx90.jpg,P2C-1F11_7CDI.pdbx90.tga,Matched,6.347826086956522
P2C-1F11_7CDI.pdby90.jpg,P2C-1F11_7CDI.pdby90.tga,Matched,9.227683049147442
P4A1_7CJF.pdb.jpg,P4A1_7CJF.pdb.tga,Matched,6.1979648473635525
P4A1_7CJF.pdbx90.jpg,P4A1_7CJF.pdbx90.tga,Matched,7.678244972577697
P4A1_7CJF.pdby90.jpg,P4A1_7CJF.pdby90.tga,Matched,8.883025505716798
REGN10933_6XDG.pdb.jpg,REGN10933_6XDG.pdb.tga,Matched,7.79467680608365
REGN10933_6XDG.pdbx90.jpg,REGN10933_6XDG.pdbx90.tga,Matched,7.046632124352331
REGN10933_6XDG.pdby90.jpg,REGN10933_6XDG.pdby90.tga,Matched,7.493309545049064
REGN10987_6XDG.pdb.jpg,REGN10987_6XDG.pdb.tga,Matched,8.859357696566999
REGN10987_6XDG.pdbx90.jpg,REGN10987_6XDG.pdbx90.tga,Matched,6.283422459893048
REGN10987_6XDG.pdby90.jpg,REGN10987_6XDG.pdby90.tga,Matched,6.87984496124031
S2A4_7JVC.pdb.jpg,S2A4_7JVC.pdb.tga,Matched,7.747105966162065
S2A4_7JVC.pdbx90.jpg,S2A4_7JVC.pdbx90.tga,Matched,4.8959608323133414
S2A4_7JVC.pdby90.jpg,S2A4_7JVC.pdby90.tga,Matched,8.961303462321792
S2E12_7K4N.pdb.jpg,S2E12_7K4N.pdb.tga,Matched,6.4030131826742
S2E12_7K4N.pdbx90.jpg,S2E12_7K4N.pdbx90.tga,Matched,6.002554278416347
S2E12_7K4N.pdby90.jpg,S2E12_7K4N.pdby90.tga,Matched,7.957559681697612
S2H13_7JV6.pdb.jpg,S2H13_7JV6.pdb.tga,Matched,3.864734299516908
S2H13_7JV6.pdbx90.jpg,S2H13_7JV6.pdbx90.tga,Matched,8.460471567267684
S2H13_7JV6.pdby90.jpg,S2H13_7JV6.pdby90.tga,Matched,7.227615965480043
S2H14_7JX3.pdb.jpg,S2H14_7JX3.pdb.tga,Matched,6.258692628650904
S2H14_7JX3.pdbx90.jpg,S2H14_7JX3.pdbx90.tga,Matched,6.789413118527042
S2H14_7JX3.pdby90.jpg,S2H14_7JX3.pdby90.tga,Matched,5.887850467289719
S2M11_7K43.pdb.jpg,S2M11_7K43.pdb.tga,Matched,6.2246278755074425
S2M11_7K43.pdbx90.jpg,S2M11_7K43.pdbx90.tga,Matched,7.995618838992333
S2M11_7K43.pdby90.jpg,S2M11_7K43.pdby90.tga,Matched,6.696935300794552
S304_7JX3.pdb.jpg,S304_7JX3.pdb.tga,Matched,4.62962962962963
S304_7JX3.pdbx90.jpg,S304_7JX3.pdbx90.tga,Matched,4.129793510324483
S304_7JX3.pdby90.jpg,S304_7JX3.pdby90.tga,Matched,9.832317073170731
