Search_image,Target_image,Matched,Matching_percentage
CC12.1_6XC3.pdby90.jpg,CC12.1_6XC3.pdby90.tga,Matched,3.2
CC12.3_6XC4.pdb.jpg,C1A-B12_7KFV.pdb.tga,Not Matched,1.7999999999999998
CC12.3_6XC4.pdbx90.jpg,CC12.3_6XC4.pdbx90.tga,Matched,2.0
CC12.3_6XC4.pdby90.jpg,CC12.3_6XC4.pdby90.tga,Matched,3.0
COVA1-16_7JMW.pdb.jpg,COVA1-16_7JMW.pdb.tga,Matched,2.2
COVA1-16_7JMW.pdbx90.jpg,MR17_7C8W.pdb.tga,Not Matched,1.2
COVA1-16_7JMW.pdby90.jpg,COVA1-16_7JMW.pdby90.tga,Matched,3.0
COVA2-04_7JMO.pdb.jpg,COVA2-04_7JMO.pdb.tga,Matched,2.6
COVA2-04_7JMO.pdbx90.jpg,B38_7BZ5.pdbx90.tga,Not Matched,1.4
COVA2-04_7JMO.pdby90.jpg,COVA2-04_7JMO.pdby90.tga,Matched,3.4000000000000004
COVA2-39_7JMP.pdb.jpg,COVA2-39_7JMP.pdb.tga,Matched,2.0
COVA2-39_7JMP.pdbx90.jpg,COVA2-39_7JMP.pdbx90.tga,Matched,3.0
COVA2-39_7JMP.pdby90.jpg,COVA2-39_7JMP.pdby90.tga,Matched,4.0
CR3014-C8_7KZB.pdb.jpg,CR3014-C8_7KZB.pdb.tga,Matched,3.0
CR3014-C8_7KZB.pdbx90.jpg,BD-629_7CH5.pdbx90.tga,Not Matched,1.2
CR3014-C8_7KZB.pdby90.jpg,CR3014-C8_7KZB.pdby90.tga,Matched,4.8
CR3022_6YLA.pdb.jpg,CR3022_6YLA.pdb.tga,Matched,2.8000000000000003
CR3022_6YLA.pdbx90.jpg,CR3022_6YLA.pdbx90.tga,Matched,2.0
CR3022_6YLA.pdby90.jpg,CR3022_6YLA.pdby90.tga,Matched,2.4
CT-P59_7CM4.pdb.jpg,BD-629_7CH5.pdb.tga,Not Matched,0.8
CT-P59_7CM4.pdbx90.jpg,CT-P59_7CM4.pdbx90.tga,Matched,1.2
CT-P59_7CM4.pdby90.jpg,CT-P59_7CM4.pdby90.tga,Matched,1.6
CV07-250_6XKQ.pdb.jpg,Sb16_7KGK.pdby90.tga,Not Matched,1.2
CV07-250_6XKQ.pdbx90.jpg,CV07-250_6XKQ.pdbx90.tga,Matched,1.2
CV07-250_6XKQ.pdby90.jpg,CV07-250_6XKQ.pdby90.tga,Matched,4.2
CV07-270_6XKP.pdb.jpg,CV07-270_6XKP.pdb.tga,Matched,3.0
CV07-270_6XKP.pdbx90.jpg,CV07-270_6XKP.pdbx90.tga,Matched,1.7999999999999998
CV07-270_6XKP.pdby90.jpg,CV07-270_6XKP.pdby90.tga,Matched,1.2
CV30_6XE1.pdb.jpg,CV30_6XE1.pdb.tga,Matched,2.0
CV30_6XE1.pdbx90.jpg,CV30_6XE1.pdbx90.tga,Matched,2.4
CV30_6XE1.pdby90.jpg,CV30_6XE1.pdby90.tga,Matched,3.0
DH1047_7LD1.pdb.jpg,DH1047_7LD1.pdb.tga,Matched,4.0
DH1047_7LD1.pdbx90.jpg,DH1047_7LD1.pdbx90.tga,Matched,2.0
DH1047_7LD1.pdby90.jpg,DH1047_7LD1.pdby90.tga,Matched,2.0
EY6A_6ZCZ.pdb.jpg,EY6A_6ZCZ.pdb.tga,Matched,2.4
